Date,u,v
04/01/2018 12:30,0.064675,0.107475
04/01/2018 13:00,0.083721,0.14036
04/01/2018 13:30,0.0813056,0.136252
04/01/2018 14:00,0.0813496,0.135918
04/01/2018 14:30,0.0713173,0.118718
04/01/2018 15:00,0.0989348,0.169052
04/01/2018 15:30,0.107497,0.183908
04/01/2018 16:00,0.0988905,0.167622
04/01/2018 16:30,0.109269,0.189166
04/01/2018 17:00,0.102029,0.169404
04/01/2018 17:30,0.0943532,0.154798
04/01/2018 18:00,0.0723707,0.115998
04/01/2018 18:30,0.074731,0.119577
04/01/2018 19:00,0.0424684,0.0681653
04/01/2018 19:30,0.0461755,0.0716541
04/01/2018 20:00,0.0425501,0.0668698
04/01/2018 20:30,0.0503423,0.0770035
04/01/2018 21:00,0.0575544,0.0905184
04/01/2018 21:30,0.0668716,0.0761121
04/01/2018 22:00,0.0594135,5.53E-02
04/01/2018 22:30,0.0514479,0.0484674
04/01/2018 23:00,0.0364563,0.0249901
04/01/2018 23:30,2.63E-02,1.26E-02
05/01/2018 0:00,0.0226763,0.0140894
05/01/2018 0:30,0.0337988,0.0404947
05/01/2018 1:00,0.0337583,0.0373302
05/01/2018 1:30,0.0211735,0.0207804
05/01/2018 2:00,2.81E-04,-0.00162996
05/01/2018 2:30,-0.0241561,-0.0329317
05/01/2018 3:00,-0.053328,-0.0789801
05/01/2018 3:30,-0.0722868,-0.113961
05/01/2018 4:00,-0.0852517,-0.135858
05/01/2018 4:30,-0.0900131,-0.144518
05/01/2018 5:00,-0.114109,-0.186251
05/01/2018 5:30,-0.115127,-0.188438
05/01/2018 6:00,-0.137068,-0.226729
05/01/2018 6:30,-0.137657,-0.228203
05/01/2018 7:00,-0.170141,-0.285119
05/01/2018 7:30,-0.163157,-0.273275
05/01/2018 8:00,-0.172223,-0.289237
05/01/2018 8:30,-0.172242,-0.289396
05/01/2018 9:00,-0.154352,-0.258385
05/01/2018 9:30,-0.118734,-0.196846
05/01/2018 10:00,-0.052879,-0.0856856
05/01/2018 10:30,-0.0175822,-0.0281174
05/01/2018 11:00,0.118118,0.197555
05/01/2018 11:30,0.115729,0.198417
05/01/2018 12:00,0.129527,0.223658
05/01/2018 12:30,0.1034,0.176485
05/01/2018 13:00,0.135798,0.23664
05/01/2018 13:30,0.111549,0.191637
05/01/2018 14:00,0.126655,0.220306
05/01/2018 14:30,1.15E-01,1.98E-01
05/01/2018 15:00,0.136391,0.241385
05/01/2018 15:30,0.126801,0.222099
05/01/2018 16:00,0.129842,0.229066
05/01/2018 16:30,0.126684,0.223463
05/01/2018 17:00,0.124,0.213844
05/01/2018 17:30,0.120315,0.204003
05/01/2018 18:00,0.110704,0.183799
05/01/2018 18:30,0.125317,0.1696
05/01/2018 19:00,1.00E-01,1.46E-01
05/01/2018 19:30,0.104529,0.133628
05/01/2018 20:00,0.0881436,0.123948
05/01/2018 20:30,0.0777769,0.0768215
05/01/2018 21:00,0.0627254,0.0754191
05/01/2018 21:30,0.0566649,7.99E-02
05/01/2018 22:00,0.0457247,0.0596283
05/01/2018 22:30,0.0428313,0.0509766
05/01/2018 23:00,0.0378067,0.0377198
05/01/2018 23:30,3.71E-02,4.48E-02
06/01/2018 0:00,0.0310522,0.0335121
06/01/2018 0:30,0.019064,0.0221464
06/01/2018 1:00,0.00565447,0.00359149
06/01/2018 1:30,-0.0261063,-0.0343762
06/01/2018 2:00,-0.0524045,-0.0789159
06/01/2018 2:30,-9.08E-02,-1.45E-01
06/01/2018 3:00,-0.0883834,-0.141646
06/01/2018 3:30,-0.099836,-0.161357
06/01/2018 4:00,-0.0994557,-0.161238
06/01/2018 4:30,-0.105096,-0.171021
06/01/2018 5:00,-0.10248,-0.166866
06/01/2018 5:30,-0.107855,-0.176513
06/01/2018 6:00,-0.135299,-0.224147
06/01/2018 6:30,-0.139256,-0.231377
06/01/2018 7:00,-0.156436,-0.261491
