Hs,direction
0.185851,110.048
0.182409,109.736
0.178123,109.518
0.173158,109.37
0.167829,109.333
0.162364,109.422
0.156871,109.621
0.151197,109.826
0.145275,109.972
0.139206,110.058
0.133234,110.147
0.127492,110.266
0.122005,110.399
0.116679,110.472
0.111511,110.453
0.106573,110.358
0.102008,110.247
0.0978945,110.152
0.0942577,110.078
0.0910992,110.025
0.0884062,109.995
0.0861587,109.993
0.0843246,110.016
0.0828798,110.061
0.0818201,110.123
0.0814585,110.344
0.0822878,110.87
0.0854259,111.748
0.091256,112.67
0.099618,113.239
0.110516,113.172
0.123164,112.372
0.136143,111.034
0.148141,109.555
0.158335,108.263
0.166375,107.267
0.172281,106.56
0.176202,106.091
0.178326,105.798
0.178895,105.623
0.178241,105.534
0.176685,105.507
0.174478,105.526
0.171856,105.598
0.168944,105.722
0.165779,105.883
0.16234,106.05
0.158626,106.201
0.154668,106.326
0.150567,106.44
0.146441,106.561
0.142396,106.7
0.138531,106.864
0.134956,107.056
0.131802,107.284
0.129147,107.528
0.127052,107.765
0.125595,107.981
0.12485,108.173
0.12485,108.334
0.125595,108.451
0.126808,108.407
0.12827,108.159
0.129893,107.754
0.131898,107.387
0.134393,107.162
0.137306,107.086
0.140176,107.096
0.142654,107.155
0.144674,107.276
0.146066,107.427
0.146734,107.592
0.146693,107.772
0.145871,107.93
0.144275,108.042
0.141969,108.107
0.139045,108.141
0.135603,108.16
0.131747,108.169
0.12759,108.177
0.123243,108.188
0.118802,108.207
0.114381,108.261
0.110052,108.357
0.105855,108.492
0.1018,108.64
0.0979071,108.788
0.094217,108.939
0.0908438,109.151
0.0879035,109.47
0.0855175,109.927
0.0837559,110.502
0.0827442,111.169
0.0827502,111.906
0.0840727,112.595
0.0871532,113.09
0.09245,113.264
0.0999813,112.958
0.109403,112.191
0.119981,111.152
0.130977,110.113
0.141824,109.257
0.152185,108.639
0.161697,108.19
0.170125,107.857
0.177386,107.625
0.183365,107.451
0.18804,107.295
0.191472,107.148
0.193697,107.013
0.194708,106.894
0.194488,106.79
0.19308,106.698
0.190595,106.615
0.18719,106.539
0.183041,106.469
0.178311,106.404
0.173142,106.344
0.167647,106.283
0.161922,106.217
0.156049,106.139
0.150112,106.044
0.144214,105.926
0.13852,105.781
0.133219,105.61
0.12848,105.423
0.124491,105.231
0.121433,105.05
0.119517,104.9
0.11905,104.797
0.120508,104.764
0.124561,104.805
0.132076,104.888
0.142305,104.91
0.153889,104.944
0.165689,105.279
0.176959,105.999
0.186691,106.905
0.19341,107.728
0.196569,108.331
0.196282,108.698
0.192942,108.864
0.187322,108.892
0.180339,108.841
0.172729,108.752
0.164941,108.645
0.157279,108.536
0.149966,108.442
0.14311,108.38
0.136758,108.362
0.130917,108.392
0.125799,108.558
0.121649,108.968
0.118725,109.718
0.116833,110.7
0.115872,111.82
0.116025,113.062
0.117462,114.355
0.120437,115.623
0.125389,116.782
0.133365,117.797
0.145881,118.53
0.163028,118.695
0.180038,118.179
0.191862,117.351
0.197461,116.708
0.197408,116.337
0.193746,116.06
0.188442,115.707
0.182575,115.131
0.176541,114.263
0.170617,113.13
0.165354,111.908
0.16114,110.758
0.158011,109.76
0.155736,108.917
0.154095,108.228
0.152936,107.693
0.152089,107.28
0.151402,106.962
0.150773,106.716
0.150156,106.525
0.149526,106.38
0.148854,106.27
0.148104,106.185
0.14723,106.115
0.146189,106.047
0.144949,105.977
0.143489,105.898
0.141801,105.809
0.139892,105.708
0.137778,105.597
0.135491,105.478
0.133067,105.354
0.13055,105.229
0.127983,105.108
0.125406,104.995
0.12285,104.896
0.12034,104.813
0.117888,104.751
0.115502,104.711
0.11318,104.693
0.110916,104.699
0.108706,104.727
0.106545,104.776
0.104429,104.845
0.10235,104.933
0.100303,105.036
0.0982796,105.152
0.0962761,105.279
0.0942896,105.415
0.0923215,105.558
0.0903776,105.707
0.0884697,105.86
0.0866167,106.019
0.0848458,106.182
0.0831932,106.351
0.0817001,106.527
0.0804051,106.71
0.0793334,106.899
0.0784848,107.09
0.0778291,107.276
0.0773068,107.448
0.0768348,107.599
0.0763176,107.722
0.0756594,107.818
0.0747761,107.888
0.0736068,107.94
0.0721195,107.984
0.0703122,108.032
0.0682096,108.093
0.0658576,108.178
0.063317,108.296
0.0606567,108.455
0.0579476,108.66
0.0552575,108.914
0.0526469,109.219
0.0501661,109.569
0.0478535,109.956
0.0457363,110.83
0.0438309,111.281
0.0421447,111.718
0.0406786,112.12
0.0394301,112.462
0.0383977,112.719
0.0375868,112.86
0.0370182,112.843
0.0367391,112.599
0.0368305,112.03
0.0374048,111.034
0.0385863,109.558
0.0404816,107.666
0.0431512,105.566
0.0465976,103.541
0.0507793,101.511
0.0556465,100.306
0.0611592,99.5816
0.0672505,99.3026
0.0737529,99.3777
0.0803575,99.6862
0.0866546,100.113
0.0922335,100.576
0.0967834,101.03
0.100147,101.456
0.10232,101.853
0.103419,102.225
0.103627,102.576
0.103151,102.908
0.102189,103.22
0.100912,103.512
0.0994633,103.778
0.0979552,104.018
0.0964779,104.227
0.0951033,104.405
0.093888,104.551
0.0928745,104.665
0.0920918,104.746
0.0915539,104.797
0.0912588,104.818
0.0911939,104.811
0.0913385,104.782
0.09166,104.735
0.0921196,104.677
0.0926692,104.611
0.0932544,104.543
0.0938193,104.476
0.0943088,104.414
0.0946747,104.361
0.0948802,104.322
0.0949021,104.301
0.0947317,104.302
0.0943737,104.328
0.0938427,104.382
0.0931575,104.464
0.0923352,104.574
0.0913858,104.709
0.0903106,104.862
0.0891043,105.03
0.0877594,105.206
0.0862711,105.384
0.0846415,105.559
0.0828805,105.726
0.0810044,105.882
0.0790333,106.022
0.0769856,106.144
0.0748745,106.246
0.0727065,106.327
0.0704824,106.386
0.0682003,106.427
0.06586,106.453
0.0634666,106.471
0.0610336,106.488
0.0585843,106.514
0.056194,106.594
0.0542209,106.854
0.0550826,107.694
0.0585294,108.795
0.0640114,109.81
0.0725379,110.508
0.0853231,110.402
0.103336,108.804
0.125197,105.3
0.147218,100.833
0.165022,97.1918
0.17686,95.1194
0.183768,94.2169
0.187585,94.1077
0.189615,94.5251
0.190694,95.2686
0.191205,96.1781
0.191226,97.1404
0.190917,98.1279
0.190464,99.1312
0.190085,100.138
0.190435,101.205
0.192339,102.366
0.196638,103.599
0.204194,104.867
0.21533,106.056
0.229456,107.009
0.243871,107.604
0.256331,107.886
0.266384,108.003
0.274206,108.062
0.280252,108.115
0.285012,108.181
0.288982,108.299
0.292392,108.486
0.295259,108.743
0.298201,108.814
0.301623,108.588
0.305546,108.044
0.309668,107.54
0.313734,107.205
0.317712,106.999
0.320977,106.854
0.323246,106.753
0.324646,106.705
0.324767,106.729
0.32345,106.824
0.32088,106.99
0.316933,107.201
0.311561,107.436
0.304894,107.688
0.297043,107.976
0.288178,108.295
0.278563,108.63
0.269278,109.173
0.261237,110.035
0.254696,111.206
0.249685,112.567
0.24623,114.03
0.244308,115.524
0.243337,116.855
0.243051,117.949
0.243486,118.828
0.245431,119.62
0.249111,120.352
0.254254,120.992
0.260137,121.468
0.266364,121.8
0.272851,122.041
0.279017,122.11
0.284501,121.989
0.289227,121.735
0.293542,121.377
0.297696,120.957
0.301755,120.505
0.305603,120.026
0.309125,119.509
0.312306,118.942
0.315646,118.332
0.319538,117.663
0.324134,116.908
0.329443,116.078
0.335427,115.187
0.342043,114.252
0.348641,113.297
0.354842,112.342
0.360636,111.407
0.365727,110.561
0.369975,109.828
0.373459,109.206
0.376214,108.756
0.378334,108.483
0.379974,108.356
0.381354,108.307
0.382637,108.3
0.383894,108.325
0.385205,108.362
0.38663,108.399
0.388204,108.432
0.389664,108.421
0.390934,108.36
0.392082,108.264
0.393308,108.18
0.394636,108.123
0.395979,108.086
0.398075,108.185
0.40107,108.431
0.404866,108.792
0.410356,109.263
0.418527,109.84
0.429383,110.462
0.438572,111.055
0.444558,111.644
0.448104,112.298
0.448726,112.915
0.446834,113.502
0.443103,114.105
0.436886,114.625
0.428448,115.046
0.418575,115.405
0.408555,115.796
0.398741,116.225
0.389094,116.668
0.380073,117.165
0.371853,117.729
0.364355,118.353
0.358346,119.16
0.354171,120.181
0.351816,121.382
0.349811,122.489
0.347496,123.415
0.344958,124.205
0.340418,124.721
0.333471,124.951
0.324534,124.934
0.315827,124.879
0.308444,124.885
0.302289,124.925
0.297711,125.005
0.294868,125.114
0.293708,125.212
0.294016,125.236
0.295618,125.142
0.298421,124.909
0.302295,124.438
0.307197,123.703
0.313108,122.732
0.31942,121.7
0.325456,120.69
0.330924,119.725
0.335138,118.772
0.33789,117.844
0.339358,116.977
0.340721,116.219
0.34266,115.584
0.345198,115.046
0.348152,114.561
0.3514,114.098
0.354909,113.64
0.358515,113.188
0.362156,112.741
0.365861,112.296
0.36933,112.022
0.372331,111.947
0.374893,112.033
0.376558,112.229
0.377252,112.515
0.377235,112.898
0.376506,113.341
0.375164,113.838
0.37338,114.397
0.371387,114.943
0.369312,115.44
0.367136,115.884
0.365168,116.296
0.363517,116.671
0.362129,116.992
0.361448,117.278
0.361704,117.525
0.362878,117.714
0.363502,117.945
0.362869,118.264
0.361218,118.699
0.360221,119.288
0.360663,120.021
0.362636,120.863
0.365108,121.665
0.367623,122.384
0.370217,123.046
0.372926,123.653
0.375726,124.206
0.378547,124.705
0.380479,125.09
0.381199,125.367
0.380874,125.58
0.379191,125.765
0.376168,125.964
0.371986,126.21
0.367638,126.625
0.363569,127.239
0.359802,128.017
0.358056,129.071
0.359181,130.39
0.363234,131.876
0.369195,133.252
0.376713,134.401
0.386108,135.298
0.394357,135.679
0.399783,135.501
0.402719,134.858
0.40383,133.87
0.403575,132.636
0.402524,131.245
0.400774,129.776
0.398431,128.294
0.39557,126.85
0.389475,125.559
0.379587,124.429
0.366798,123.437
0.353223,122.601
0.339676,121.95
0.32604,121.433
0.31256,121.049
0.299464,120.776
0.286869,120.562
0.275095,120.391
0.264398,120.247
0.254913,120.105
0.246726,119.937
